#GRM21BC81E106ME11
#In Production
#2019/08/29
#c_dcbias_capacitance
#capacitance, 25.0degC, AC1Vrms
ESR_mOhm,3,
ESL_nH,0.5,
DC Bias[V],Capacitance[F]
17.625,1.833311255294223E-6
17.75,1.819501629791684E-6
17.875,1.8059029089315534E-6
18.0,1.7925125461627948E-6
18.125,1.7793280690216202E-6
18.25,1.7663470661427102E-6
18.375,1.7535671743452542E-6
18.5,1.7409860657897315E-6
18.625,1.728601435200634E-6
18.75,1.7164109871494847E-6
18.875,1.704412423392436E-6
19.0,1.6926034302553979E-6
19.125,1.6809816660601284E-6
19.25,1.66954474858331E-6
19.375,1.6582902425411342E-6
19.5,1.647215647090932E-6
19.625,1.6363183833416617E-6
19.75,1.6255957818649718E-6
19.875,1.6150450701983078E-6
20.0,1.6046633603321563E-6
20.125,1.5944476361737694E-6
20.25,1.5843947409800012E-6
20.375,1.5745013647532795E-6
20.5,1.5647640315951015E-6
20.625,1.5551790870131798E-6
20.75,1.5457426851795913E-6
20.875,1.5364507761392336E-6
21.0,1.5272990929699856E-6
21.125,1.5182831388985507E-6
21.25,1.5093981743787457E-6
21.375,1.5006392041419422E-6
21.5,1.4920009642339187E-6
21.625,1.4834779090553827E-6
21.75,1.4750641984289271E-6
21.875,1.466753684719897E-6
22.0,1.4585399000443957E-6
22.125,1.450416043603984E-6
22.25,1.4423749691934285E-6
22.375,1.4344091729349725E-6
22.5,1.4265107813015182E-6
22.625,1.4186715394989563E-6
22.75,1.4108828002880577E-6
22.875,1.4031355133356918E-6
23.0,1.395420215196879E-6
23.125,1.3877270200400897E-6
23.25,1.3800456112402466E-6
23.375,1.3723652339771882E-6
23.5,1.3646746889908519E-6
23.625,1.3569623276572124E-6
23.75,1.3492160485659285E-6
23.875,1.3414232957923876E-6
24.0,1.3335710590752557E-6
24.125,1.3256458761232313E-6
24.25,1.3176338372923616E-6
24.375,1.3095205928885614E-6
24.5,1.3012913633662533E-6
24.625,1.2929309527073303E-6
24.75,1.284423765278143E-6
24.875,1.2757538264740468E-6
25.0,1.2669048074713015E-6
